CNPJ do gerador;Razão Social do gerador;Estado;Município;Código da Categoria;Categoria de Atividade;Código do Detalhe;Detalhe;Ano da geração;Cód. Resíduo;Tipo de Resíduo;Quantidade Gerada;Unidade;Classificação Resíduo;Situação Cadastral
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;1.855,00;Litro;Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130507;Água com óleo proveniente dos separadores óleo/água;2.500,00;Litro;Perigoso;Ativa
00.062.382/0002-69;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130899;Outros resíduos não anteriormente especificados;563,80;kilogramas;Perigoso;Ativa
00.062.382/0003-40;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2012;130899;Outros resíduos não anteriormente especificados;500,00;kilogramas;Perigoso;Ativa
00.062.382/0003-40;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2013;130899;Outros resíduos não anteriormente especificados;700,00;kilogramas;Perigoso;Ativa
00.062.382/0003-40;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2014;130899;Outros resíduos não anteriormente especificados;800,00;kilogramas;Perigoso;Ativa
00.062.382/0003-40;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;130899;Outros resíduos não anteriormente especificados;800,00;kilogramas;Perigoso;Ativa
00.062.382/0003-40;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2016;130899;Outros resíduos não anteriormente especificados;1.000,00;kilogramas;Perigoso;Ativa
00.062.382/0003-40;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130507;Água com óleo proveniente dos separadores óleo/água;2.179,00;Litro;Perigoso;Ativa
00.062.382/0003-40;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130899;Outros resíduos não anteriormente especificados;102,90;kilogramas;Perigoso;Ativa
00.062.382/0003-40;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130899;Outros resíduos não anteriormente especificados;103,60;kilogramas;Perigoso;Ativa
00.062.382/0003-40;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130507;Água com óleo proveniente dos separadores óleo/água;2.000,00;Litro;Perigoso;Ativa
00.062.382/0004-20;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;130899;Outros resíduos não anteriormente especificados;500,00;kilogramas;Perigoso;Ativa
00.062.382/0004-20;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2016;130899;Outros resíduos não anteriormente especificados;1.800,00;kilogramas;Perigoso;Ativa
00.062.382/0004-20;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2017;130899;Outros resíduos não anteriormente especificados;600,00;kilogramas;Perigoso;Ativa
00.062.382/0004-20;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;1.000,00;Litro;Perigoso;Ativa
00.062.382/0004-20;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130899;Outros resíduos não anteriormente especificados;585,90;kilogramas;Perigoso;Ativa
00.062.382/0004-20;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130507;Água com óleo proveniente dos separadores óleo/água;3.560,00;Litro;Perigoso;Ativa
00.062.382/0004-20;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;2.200,00;Litro;Perigoso;Ativa
00.062.382/0004-20;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130507;Água com óleo proveniente dos separadores óleo/água;2.800,00;Litro;Perigoso;Ativa
00.062.382/0004-20;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130899;Outros resíduos não anteriormente especificados;572,20;kilogramas;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2012;130899;Outros resíduos não anteriormente especificados;500,00;kilogramas;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2013;130899;Outros resíduos não anteriormente especificados;300,00;kilogramas;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2014;130899;Outros resíduos não anteriormente especificados;600,00;kilogramas;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;130899;Outros resíduos não anteriormente especificados;500,00;kilogramas;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2017;130899;Outros resíduos não anteriormente especificados;500,00;kilogramas;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;250,00;Litro;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130899;Outros resíduos não anteriormente especificados;58,70;kilogramas;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130507;Água com óleo proveniente dos separadores óleo/água;3.338,00;Litro;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130507;Água com óleo proveniente dos separadores óleo/água;2.930,00;Litro;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;180,00;Litro;Perigoso;Ativa
00.138.957/0001-07;POSTO DE GASOLINA FELICE LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130899;Outros resíduos não anteriormente especificados;64,20;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;3.500,00;Litro;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;1.449,15;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;191107;Resíduos da limpeza de gases de combustão;1.030,00;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2016;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;976,00;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2016;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;4.300,00;Litro;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2017;130506;Óleos provenientes dos separadores óleo/água;680,00;Litro;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2017;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;1.526,92;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2017;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;4.950,00;Litro;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2018;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;3.590,00;Litro;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2018;130501;Resíduos sólidos provenientes de desarenadores e de separadores óleo/ água;1.516,85;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2019;130501;Resíduos sólidos provenientes de desarenadores e de separadores óleo/ água;1.088,50;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2019;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;4.120,00;Litro;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2020;130501;Resíduos sólidos provenientes de desarenadores e de separadores óleo/ água;838,00;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2020;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;3.650,00;Litro;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2021;150101;Embalagens de papel e cartão;100,00;kilogramas;Não Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2021;200301;Outros resíduos urbanos e equiparados, incluindo misturas de resíduos;3.000,00;kilogramas;Não Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2021;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;853,60;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2021;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;4.440,00;Litro;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2021;150102;Embalagens de plástico;85,00;kilogramas;Não Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;3.248,00;Litro;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;150102;Embalagens de plástico;98,00;kilogramas;Não Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;150101;Embalagens de papel e cartão;115,00;kilogramas;Não Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2022;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;885,00;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;250,00;kilogramas;Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;150101;Embalagens de papel e cartão;135,00;kilogramas;Não Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;150102;Embalagens de plástico;105,00;kilogramas;Não Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;200301;Outros resíduos urbanos e equiparados, incluindo misturas de resíduos;875,00;kilogramas;Não Perigoso;Ativa
00.216.623/0001-04;WALTER TANNUS FREITAS;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2023;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;1.200,00;Litro;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;4.350,00;Litro;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2015;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;1.659,10;kilogramas;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2016;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;1.110,00;kilogramas;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2016;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;2.300,00;Litro;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2017;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;900,49;kilogramas;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2017;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;2.750,00;Litro;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2018;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;780,65;kilogramas;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2018;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;2.600,00;Litro;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2019;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;731,55;kilogramas;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2019;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;2.200,00;Litro;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2020;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;668,00;kilogramas;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2020;130501;Resíduos sólidos provenientes de desarenadores e de separadores óleo/ água;78,00;kilogramas;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2020;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;1.700,00;Litro;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2021;130201;Óleos de motores, transmissões e lubrificação usados ou contaminados;1.460,00;Litro;Perigoso;Ativa
00.263.811/0001-85;AUTO POSTO CENTENARIO COMERCIO DE COMBUSTIVEIS E SERV LTDA;BAHIA;SALVADOR;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;2021;150110;Emb. de qualquer um dos tipos acima descr. cont. ou contamin. por res. de subst. perig.;688,00;kilogramas;Perigoso;Ativa
